,VSTOXX_ret,VIX_ret,RealizedVol_10d_ret,CAC40_ret,DAX_ret,STOXX600_ret,EUROSTOXX_Banks_ret,EUROPE_Financials_ret,Ukraine_z,guerre Russie_z,invasion Ukraine_z,OTAN_z,sanctions économiques_z,Israël_z,Palestine_z,Hamas_z,guerre Gaza_z,guerre mondiale_z,Chine Taïwan_z,conflit Chine USA_z,mer de Chine_z,Iran nucléaire_z,Iran Israël_z,attaques pétroliers_z,Corée du Nord_z,missile nucléaire_z,Kim Jong Un_z,tensions géopolitiques_z,GPR_Global_z,EPU_z,OAT_10Y_z,Bund_10Y_z,Infl_Exp_10Y_US_z,Spread_OAT_Bund_z,Technology,Health Care,Oil & Gas,Financials,Banks,Insurance,Consumer Discretionary,Consumer Staples,Industrials,Telecommunications,Utilities,Real Estate,Sentiment_Composite,VIX,RealizedVol_10d,VSTOXX,Delta_GPR_x,CAC40,DAX,STOXX600,EUROSTOXX_Banks,EUROPE_Financials,GPR_Global,Z_GPR,Delta_GPR_y,EPU,Bund_10Y,OAT_10Y,Delta_GPR,Infl_Exp_10Y_US
2010-03-12,,0.0091429121131838,-0.5493700306214773,0.0043328393390069,0.0114613516831258,0.0050825443885464,,,,,,,,,,,,,,,,,,,,,,,-0.3583712626096723,-0.0464038879189609,,,0.5659297730347993,,0.0241730429925718,0.0199572640440173,0.0075062832710892,0.0036217071676085,0.0041077966203257,0.0108334468572302,-0.0017105915741012,-0.0143695810123105,0.0119711480438164,0.0163846764802218,0.0105998967370294,0.0061162509706516,-0.1977636258663054,17.579999923706055,0.0945513673898973,,-0.5300000000000011,3927.39990234375,5945.10986328125,258.3999938964844,,,85.51,-0.2220090462841881,-0.5300000000000011,153.32087564102562,,,-0.5300000000000011,2.26
2010-03-19,,-0.0353148491333983,-0.0989791381583229,-0.0004991725330452,0.0062578594024955,0.0069418647044061,,,,,,,,,,,,,,,,,,,,,,,-0.43032324327074,-0.0344199153076495,,,0.3918305210157598,,0.0066121517676072,0.0086372937531982,0.012189760961784,0.0081006775599317,-0.0023754865565473,-0.0063056422789698,-0.0076396181570468,0.0231508138078174,-0.0084809702854077,0.0107760860795979,0.0110377528758099,-0.0006101255014008,-0.1977636258663054,16.969999313354492,0.0856409981573636,,-4.410000000000011,3925.43994140625,5982.43017578125,260.20001220703125,,,81.1,-0.3372477536177162,-4.410000000000011,154.4526082051282,,,-4.410000000000011,2.2
2010-03-26,,0.0460646291432187,0.1440248704305546,0.0160445754387374,0.0227433651910828,0.0129442387560434,,,,,,,,,,,,,,,,,,,,,,,-0.7884515823887517,-0.0224359426963381,,,0.5078966890284536,,0.0277312850559918,0.0217398241617779,-0.0002952404374836,0.0190905941645257,0.0060364990329665,0.0075021991244713,0.0411287211015083,-0.0025745676334925,-0.0015497876679774,0.0053447189870125,0.0125445590876084,0.0377177624130048,-0.1977636258663054,17.770000457763672,0.0989078876613131,,-21.95,3988.929931640625,6120.0498046875,263.5899963378906,,,59.15,-1.1730232019524909,-21.95,155.58434076923078,,,-21.95,2.24
2010-04-02,,-0.0170265830853368,0.0074119342335996,0.0112924410603678,0.0186981655409166,0.0151731938830428,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.22717906020313,-0.0963685522593154,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.9467984852941768,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,0.2293181576650785,-0.0104519700850269,1.4253629738102025,1.7240443417592526,0.5949463150379734,-0.8299825197275189,0.0038388058216478,0.0189864245518712,0.0187412345075742,0.0035119357746042,0.0231607648145072,0.0212965604266199,0.0500598693226774,-0.0005158749731762,0.0161541381027184,0.013764195508262,0.0070209945732564,0.0209311166448346,-0.0117142217412097,17.469999313354492,0.099643709984538,,62.38,4034.22998046875,6235.56005859375,267.6199951171875,,,121.53,1.8018162451496853,62.38,156.71607333333333,3.0645,3.4,62.38,2.27
2010-04-09,,-0.0791844598159796,0.2334199587048724,0.004034766772774,0.002265093794902,0.0078904502533436,,,,,,,,,,,,,,,,,,,,,,,0.9273013170030532,0.0015320025262844,,,0.7980621090601869,,-0.009409965631332,-0.0069043154955409,0.0252089361849127,0.0074221966861376,-0.0067441956095428,0.0165435235885566,0.0121759900171192,0.0041183659853044,0.0019056285250347,0.0204692412270363,0.001882034641869,-0.0011513971468947,-0.1977636258663054,16.139999389648438,0.1258412110324834,,42.78,4050.5400390625,6249.7001953125,269.739990234375,,,164.31,2.3470763221678665,42.78,157.8478058974359,,,42.78,2.34
2010-04-16,,0.1288737934101727,0.1933687712553642,-0.0159039821149207,-0.0110696177130691,-0.0067700172804707,,,,,,,,,,,,,,,,,,,,,,,-0.6515633470721175,0.0135159751375956,,,0.7690455670570141,,0.0183101774612913,-0.0004618303440043,-0.0096647265385816,0.0043400342776055,-0.0134110189648532,-0.0066426549386329,-0.0377003712547049,0.0015401591437551,0.0068315308738271,0.0024006704634455,-0.0024202875741684,0.0074608500459394,-0.1977636258663054,18.36000061035156,0.1526869357490384,,-96.77,3986.6298828125,6180.89990234375,267.9200134277344,,,67.54,-0.799971872190574,-96.77,158.97953846153845,,,-96.77,2.33
2010-04-23,,-0.0995675785132008,-0.0401595751528445,-0.0089015820440803,0.012641191963798,-0.0018679722057228,,,,,,,,,,,,,,,,,,,,,,,-0.3732184967143372,0.025499947748907,,,0.885111735069708,,0.0521998935722972,0.0009231411867857,0.0034216789943894,-0.0272182348522007,0.0226722409015764,-0.0210843286488364,-0.0148313537083064,-0.0113493153178975,-0.010646747049685,0.0166473221518768,0.0154960650317597,0.0259603452590559,-0.1977636258663054,16.6200008392334,0.1466765875577247,,17.059999999999988,3951.300048828125,6259.52978515625,267.4200134277344,,,84.6,-0.3019201289963337,17.059999999999988,160.11127102564103,,,17.059999999999988,2.37
2010-04-30,,0.2827057273697337,0.4425996672358394,-0.0345824997057864,-0.0199808651828234,-0.0284850750644576,,,,,,,,,,,,,,,,,,,,,,,-1.0561912655289143,0.0374839203602181,,,0.9721613610792276,,-0.0173704629140863,-0.0338056452676441,-0.0400748135405711,-0.0302713260400526,-0.0254628858931217,-0.0254773848835894,-0.0460514764697658,-0.0170045267805372,-0.0220295912956455,-0.0217995451351375,-0.0369964072479035,-0.025960345259056,-0.1977636258663054,22.049999237060547,0.2283386298232802,,-41.85999999999999,3816.989990234375,6135.7001953125,259.9100036621094,,,42.74,-1.4377248510855902,-41.85999999999999,161.24300358974358,,,-41.85999999999999,2.4
2010-05-07,,0.6190392616376528,0.2154447782516206,-0.1178684839527033,-0.0710141851013101,-0.0915161156779893,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.22717906020313,-0.0963685522593154,,-0.1388471984654808,-0.2690698449057268,9.591941805160356,-1.1712837672808911,0.9467984852941768,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,-0.5019489110943424,0.0494678929715296,1.1697433281409049,1.4355648140752386,0.2467478109998918,-0.7851530587045723,-0.0867890022619933,-0.0743285609207314,-0.0817725253329373,-0.1733709400316065,-0.0606912106421588,-0.0776165423241771,-0.092072042452703,-0.0376391876412094,-0.0869050006769176,-0.1075052314012098,-0.0615534726875488,-0.1054243032574642,-0.0117142217412097,40.95000076293945,0.2832343151751837,,33.96999999999999,3392.590087890625,5715.08984375,237.17999267578125,,,76.71,-0.3844692689224472,33.96999999999999,162.37473615384616,2.734285714285709,3.08,33.96999999999999,2.15
2010-05-14,,-0.2706525112851565,0.5501996217790964,0.0482680261284631,0.0580567241010712,0.0464625781512282,,,,,,,,,,,,,,,,,,,,,,,-0.1064577520865698,0.0614518655828407,,,0.3337974370094129,,0.0781946329760584,0.0437804969082758,0.0257114827724928,0.0921802311817372,0.0457511438291087,0.0316461892518974,0.0449974661432564,0.0307550821518408,0.037645888410297,0.0530175049707608,0.055205991800283,0.0728820526705219,-0.1977636258663054,31.239999771118164,0.4910147389942162,,24.24000000000001,3560.360107421875,6056.7099609375,248.4600067138672,,,100.95,0.4297965892616988,24.24000000000001,163.5064687179487,,,24.24000000000001,2.18
2010-05-21,,0.2496769786157577,0.0292370736744455,-0.0370857150161256,-0.0382783947684739,-0.0467577227544397,,,,,,,,,,,,,,,,,,,,,,,0.4040586821276711,0.0734358381941521,,,-0.5657153650889636,,-0.0527436942366175,-0.0708936731498506,-0.0429003430833331,-0.0211165205889768,-0.045523184808464,-0.0316461892518974,-0.082729288227976,-0.0537572371680333,-0.0211586140041917,-0.0814073496563991,-0.0699427318133748,-0.0590015714668565,-0.1977636258663054,40.09999847412109,0.5055824946634403,,31.290000000000006,3430.739990234375,5829.25,237.1100006103516,,,132.24,1.2029767496347683,31.290000000000006,164.63820128205128,,,31.290000000000006,1.87
2010-05-28,,-0.2234552920715433,-0.3742339453772887,0.0242806329852633,0.0198606789848536,0.0286850144948953,,,,,,,,,,,,,,,,,,,,,,,-0.2813614329678949,0.0854198108054633,,,-0.2175168610508827,,0.0332372069974362,0.0383664245725061,0.02039912106976,0.0070886360434654,0.0163048090108176,0.0217432405921439,0.0682241519312214,0.0357966855638654,0.0394627333579404,0.0226219296572885,0.0554418100002112,0.0308471486758289,-0.1977636258663054,32.06999969482422,0.3477477198648851,,-42.010000000000005,3515.06005859375,5946.18017578125,244.009994506836,,,90.23,-0.0593010594522727,-42.010000000000005,165.76993384615383,,,-42.010000000000005,1.99
